"title","genre","rating"
"Country Comfort","Comedy, Drama, Family",6.9
"Egiptuse jumalad","Action, Adventure, Fantasy",5.4
"Muumia","Action, Adventure, Fantasy",5.4
"Ash vs Evil Dead","Comedy, Horror",8.4
"The Bad Batch","Action, Horror, Mystery",5.3
"The Invitation","Drama, Mystery, Thriller",6.6
"Homunculus","Drama, Fantasy, Mystery",5.7
"Kolmas kivi päikesest","Comedy, Family, Sci-Fi",7.7
"Scorpion","Action, Crime, Drama",7.1
"The Ballad of Buster Scruggs","Comedy, Drama, Musical",7.3
"Dead Poets Society","Comedy, Drama",8.1
"Sa-rang-eui bul-sa-chak","Comedy, Romance",8.7
"Haikyuu!!","Animation, Comedy, Drama",8.7
"Manhunt","Biography, Crime, Drama",8.1
"Trailer Park Boys","Comedy, Crime",8.5
"Godless","Drama, Western",8.3
"The Real Housewives of Beverly Hills","Reality-TV",5
"El Camino: A Breaking Bad Movie","Action, Crime, Drama",7.3
"Hauru no ugoku shiro","Animation, Adventure, Family",8.2
"When They See Us","Biography, Crime, Drama",8.9
"Full House","Comedy, Drama, Family",6.7
"Shameless","Comedy, Crime, Drama",8
"Palgamõrvari ihukaitsja","Action, Comedy, Crime",6.9
"Will & Grace","Comedy, Romance",7.2
"The Stranger","Crime, Drama, Mystery",7.3
"Seaspiracy","Documentary, Adventure",8.2
"Alice in Borderland","Action, Fantasy, Mystery",7.7
"Fauda","Action, Drama, Thriller",8.2
"Ema!","Drama, Horror, Mystery",6.6
"Castle Rock","Drama, Fantasy, Horror",7.6
"Daybreak","Action, Adventure, Comedy",6.7
"Night in Paradise","Action, Crime, Drama",6.7
"Sweet Magnolias","Drama, Romance",7.4
"Lindmees ehk (võhiklikkuse ootamatu voorus)","Comedy, Drama",7.7
"Rünnak Valgele Majale","Action, Drama, Thriller",6.4
"iZombie","Comedy, Crime, Drama",7.8
"Nashville","Drama, Music, Romance",7.7
"High School DxD","Animation, Action, Comedy",7.6
"A-Rühm","Action, Adventure, Thriller",6.7
"Ajeeb Daastaans","Drama, Romance",6.7
"The Dirt","Biography, Comedy, Drama",7
"The Clovehitch Killer","Crime, Drama, Mystery",6.6
